"index","Genus","SpecificEpithet","InfraspecificRank","InfraspecificName","Authority","InfraspecificAuthority","AuthorityCorrected","Cultivar","OriginalName","TaxonNameAuthorCV","TaxonNameAuthor","TaxonNameCV","TaxonName","Code_No","Num","Family","EndangeredSpecies","RarePlants","ExoticPlants","KoreanEndemicPlants","ClimateSensitiveBiologicalIndicatorSpecies","KoreanRedListOfThreatenedSpecies","BiologicalResourcesSubjectToTheApprovalOfOutboundTransfer","FloristicTargetSpecies","PlantsAdaptableToClimateChange","Native_NABI","Cultivated_NABI","Naturalized_NABI"
53,"Nymphaea","odorata","","","Aiton","","Aiton","","Nymphaea odorata Aiton","Nymphaea odorata Aiton","Nymphaea odorata Aiton","Nymphaea odorata","Nymphaea odorata",11871,460,"Nymphaeaceae","","","PIP (CAP)","","","","","","","",1,""
54,"Illicium","verum","","","Hook. f.","","Hook. f.","","Illicium verum Hook. f.","Illicium verum Hook. f.","Illicium verum Hook. f.","Illicium verum","Illicium verum",9312,464,"Schisandraceae","","","","","","","","","","",1,""
55,"Schisandra","chinensis","","","(Turcz.) Baill.","","(Turcz.) Baill.","","Schisandra chinensis (Turcz.) Baill.","Schisandra chinensis (Turcz.) Baill.","Schisandra chinensis (Turcz.) Baill.","Schisandra chinensis","Schisandra chinensis",15547,466,"Schisandraceae","","","","","","","1","Ⅱ","","1",1,""
56,"Asimina","triloba","","","(L.) Dunal","","(L.) Dunal","","Asimina triloba (L.) Dunal","Asimina triloba (L.) Dunal","Asimina triloba (L.) Dunal","Asimina triloba","Asimina triloba",1676,475,"Annonaceae","","","","","","","","","","",1,""
57,"Liriodendron","chinense","","","(Hemsl.) Sarg.","","(Hemsl.) Sarg.","","Liriodendron chinense (Hemsl.) Sarg.","Liriodendron chinense (Hemsl.) Sarg.","Liriodendron chinense (Hemsl.) Sarg.","Liriodendron chinense","Liriodendron chinense",10580,476,"Magnoliaceae","","","","","","","","","","",1,""
58,"Liriodendron","tulipifera","","","L.","","L.","","Liriodendron tulipifera L.","Liriodendron tulipifera L.","Liriodendron tulipifera L.","Liriodendron tulipifera","Liriodendron tulipifera",10587,477,"Magnoliaceae","","","PIP (CAP)","","","","","","","",1,""
59,"Magnolia","denudata","","","Desr.","","Desr.","","Magnolia denudata Desr.","Magnolia denudata Desr.","Magnolia denudata Desr.","Magnolia denudata","Magnolia denudata",10947,478,"Magnoliaceae","","","","","","","","","","",1,""
60,"Magnolia","denudata","var.","purpurascens","Desr.","(Maxim.) Rehder & E.H.Wilson","(Maxim.) Rehder & E.H.Wilson","","Magnolia denudata Desr. var. purpurascens (Maxim.) Rehder & E. H. Wilson","Magnolia denudata var. purpurascens (Maxim.) Rehder & E.H.Wilson","Magnolia denudata var. purpurascens (Maxim.) Rehder & E.H.Wilson","Magnolia denudata var. purpurascens","Magnolia denudata var. purpurascens",10948,479,"Magnoliaceae","","","","","","","","","","",1,""
61,"Magnolia","grandiflora","","","L.","","L.","","Magnolia grandiflora L.","Magnolia grandiflora L.","Magnolia grandiflora L.","Magnolia grandiflora","Magnolia grandiflora",10987,480,"Magnoliaceae","","","","","","","","","","",1,""
62,"Magnolia","obovata","","","Thunb.","","Thunb.","","Magnolia obovata Thunb.","Magnolia obovata Thunb.","Magnolia obovata Thunb.","Magnolia obovata","Magnolia obovata",11040,482,"Magnoliaceae","","","IAP (NP)","","","","","","","",1,"1"
63,"Magnolia","quinquepeta","","","(Buc'hoz) Dandy","","(Buc'hoz) Dandy","","Magnolia quinquepeta (Buc’hoz) Dandy","Magnolia quinquepeta (Buc'hoz) Dandy","Magnolia quinquepeta (Buc'hoz) Dandy","Magnolia quinquepeta","Magnolia quinquepeta",11059,483,"Magnoliaceae","","","","","","","","","","",1,""
64,"Magnolia","stellata","","","(Siebold & Zucc.) Maxim.","","(Siebold & Zucc.) Maxim.","","Magnolia stellata (Siebold & Zucc.) Maxim.","Magnolia stellata (Siebold & Zucc.) Maxim.","Magnolia stellata (Siebold & Zucc.) Maxim.","Magnolia stellata","Magnolia stellata",11097,486,"Magnoliaceae","","","","","","","","","","",1,""
65,"Michelia","compressa","","","(Maxim.) Sarg.","","(Maxim.) Sarg.","","Michelia compressa (Maxim.) Sarg.","Michelia compressa (Maxim.) Sarg.","Michelia compressa (Maxim.) Sarg.","Michelia compressa","Michelia compressa",11411,487,"Magnoliaceae","Ⅱ","CR","","","","EN","","Ⅴ","","1",1,""
66,"Chimonanthus","praecox","","","(L.) Link","","(L.) Link","","Chimonanthus praecox (L.) Link","Chimonanthus praecox (L.) Link","Chimonanthus praecox (L.) Link","Chimonanthus praecox","Chimonanthus praecox",4061,488,"Calycanthaceae","","","","","","","","","","",1,""
67,"Cinnamomum","loureiroi","","","Nees","","Nees","","Cinnamomum loureiroi Nees","Cinnamomum loureiroi Nees","Cinnamomum loureiroi Nees","Cinnamomum loureiroi","Cinnamomum loureiroi",4193,493,"Lauraceae","","","","","","","","","","",1,""
68,"Laurus","nobilis","","","L.","","L.","","Laurus nobilis L.","Laurus nobilis L.","Laurus nobilis L.","Laurus nobilis","Laurus nobilis",10080,494,"Lauraceae","","","","","","","","","","",1,""
69,"Laurus","nobilis","f.","angustifolia","L.","(Nees) Markgr.","(Nees) Markgr.","","Laurus nobilis L. forma angustifolia (Nees) Markgr.","Laurus nobilis f. angustifolia (Nees) Markgr.","Laurus nobilis f. angustifolia (Nees) Markgr.","Laurus nobilis f. angustifolia","Laurus nobilis f. angustifolia",10079,495,"Lauraceae","","","","","","","","","","",1,""
70,"Lindera","angustifolia","","","W.C.Cheng","","W.C.Cheng","","Lindera angustifolia W. C. Cheng","Lindera angustifolia W.C.Cheng","Lindera angustifolia W.C.Cheng","Lindera angustifolia","Lindera angustifolia",10499,496,"Lauraceae","","","","","","","","","","1",1,""
71,"Lindera","strychnifolia","","","(Siebold & Zucc.) Fern.-Vill.","","(Siebold & Zucc.) Fern.-Vill.","","Lindera strychnifolia (Siebold & Zucc.) Fern.-Vill.","Lindera strychnifolia (Siebold & Zucc.) Fern.-Vill.","Lindera strychnifolia (Siebold & Zucc.) Fern.-Vill.","Lindera strychnifolia","Lindera strychnifolia",10516,504,"Lauraceae","","","","","","","","","","",1,""
72,"Neolitsea","sericea","","","(Blume) Koidz.","","(Blume) Koidz.","","Neolitsea sericea (Blume) Koidz.","Neolitsea sericea (Blume) Koidz.","Neolitsea sericea (Blume) Koidz.","Neolitsea sericea","Neolitsea sericea",11734,510,"Lauraceae","","","","","1","","","Ⅰ","Southern","1",1,""
73,"Parabenzoin","trilobum","","","(Siebold & Zucc.) Nakai","","(Siebold & Zucc.) Nakai","","Parabenzoin trilobum (Siebold & Zucc.) Nakai","Parabenzoin trilobum (Siebold & Zucc.) Nakai","Parabenzoin trilobum (Siebold & Zucc.) Nakai","Parabenzoin trilobum","Parabenzoin trilobum",12297,511,"Lauraceae","","","","","","","","","","",1,""
74,"Houttuynia","cordata","","","Thunb.","","Thunb.","","Houttuynia cordata Thunb.","Houttuynia cordata Thunb.","Houttuynia cordata Thunb.","Houttuynia cordata","Houttuynia cordata",8705,526,"Saururaceae","","","Arc.","","","","1","","","",1,"1"
75,"Saururus","chinensis","","","(Lour.) Baill.","","(Lour.) Baill.","","Saururus chinensis (Lour.) Baill.","Saururus chinensis (Lour.) Baill.","Saururus chinensis (Lour.) Baill.","Saururus chinensis","Saururus chinensis",15366,527,"Saururaceae","Ⅱ","EN","","","","EN","","Ⅴ","","1",1,""
76,"Berberis","poiretii","","","C.K.Schneid.","","C.K.Schneid.","","Berberis poiretii C. K. Schneid.","Berberis poiretii C.K.Schneid.","Berberis poiretii C.K.Schneid.","Berberis poiretii","Berberis poiretii",2150,535,"Berberidaceae","","","","","","","","","","1",1,""
77,"Berberis","thunbergii","","","DC.","","DC.","","Berberis thunbergii DC.","Berberis thunbergii DC.","Berberis thunbergii DC.","Berberis thunbergii","Berberis thunbergii",2158,536,"Berberidaceae","","","","","","","","","","",1,""
78,"Epimedium","koreanum","","","Nakai","","Nakai","","Epimedium koreanum Nakai","Epimedium koreanum Nakai","Epimedium koreanum Nakai","Epimedium koreanum","Epimedium koreanum",6337,538,"Berberidaceae","cancel","VU","","","","LC","1","Ⅳ","Northern","1",1,""
79,"Mahonia","aquifolium","","","(Pursh) Nutt.","","(Pursh) Nutt.","","Mahonia aquifolium (Pursh) Nutt.","Mahonia aquifolium (Pursh) Nutt.","Mahonia aquifolium (Pursh) Nutt.","Mahonia aquifolium","Mahonia aquifolium",11191,541,"Berberidaceae","","","","","","","","","","",1,""
