Code_No,Num,Family,TaxonName,EndangeredSpecies,RarePlants,ExoticPlants,KoreanEndemicPlants,ClimateSensitiveBiologicalIndicatorSpecies,KoreanRedListOfThreatenedSpecies,BiologicalResourcesSubjectToTheApprovalOfOutboundTransfer,FloristicTargetSpecies,PlantsAdaptableToClimateChange,Native_NABI,Cultivated_NABI,Naturalized_NABI
5443,714,Ranunculaceae,Delphinium ornatum C. D. Bouché,,,,,,,,,,,1,1
14067,729,Ranunculaceae,Pulsatilla chinensis (Bunge) Regel,,,,,,,,,,,1,
14088,732,Ranunculaceae,Pulsatilla tongkangensis Y. N. Lee & T. C. Lee,,EN,,1,,VU,1,Ⅴ,,1,1,
14089,733,Ranunculaceae,Pulsatilla tongkangensis Y. N. Lee & T. C. Lee forma alba Y. N. Lee,,,,,,,,,,1,1,
14090,734,Ranunculaceae,Pulsatilla tongkangensis Y. N. Lee & T. C. Lee forma disepala Y. N. Lee,,,,,,,,,,1,1,
14091,735,Ranunculaceae,Pulsatilla tongkangensis Y. N. Lee & T. C. Lee forma longisepala Y. N. Lee,,,,,,,,,,1,1,
14092,736,Ranunculaceae,Pulsatilla tongkangensis Y. N. Lee & T. C. Lee forma rosa Y. N. Lee,,,,,,,,,,1,1,
14276,740,Ranunculaceae,Ranunculus arvensis L.,,,PIP (UN),,,,,,,,1,1
11720,784,Nelumbonaceae,Nelumbo nucifera Gaertn.,,,PIP (CAP),,,,1,,,,1,
13207,785,Platanaceae,Platanus occidentalis L.,,,PIP (CAP),,,,,,,,1,
13210,786,Platanaceae,Platanus orientalis L.,,,,,,,,,,,1,
13205,787,Platanaceae,Platanus × hispanica Mill. Ex Münchh.,,,,,,,,,,,1,
2524,790,Buxaceae,"Buxus koreana (Nakai ex Rehder) T. H. Chung, P. S. Toh, D. B. Lee & F. J. Lee",,,,,,,1,Ⅰ,,1,1,
2535,793,Buxaceae,Buxus microphylla Siebold & Zucc.,,,,,,,,,,,1,
2543,794,Buxaceae,Buxus sempervirens L.,,,,,,,,,,,1,
12177,795,Buxaceae,Pachysandra terminalis Siebold & Zucc.,,,,,,,,,,,1,
10562,796,Altingiaceae,Liquidambar formosana Hance,,,,,,,,,,,1,
10571,797,Altingiaceae,Liquidambar styraciflua L.,,,,,,,,,,,1,
3874,798,Cercidiphyllaceae,Cercidiphyllum japonicum Siebold & Zucc. ex J. J. Hoffm. & J. H. Schult. bis,,,PIP (CAP),,,,,,,,1,
3869,799,Cercidiphyllaceae,Cercidiphyllum japonicum Siebold & Zucc. ex J. J. Hoffm. & J. H. Schult. bis forma pendulum (Miyoshi ex Makino & Nemoto) Ohwi,,,,,,,,,,,1,
8847,804,Crassulaceae,Hylotelephium ussuriense (Kom.) H. Ohba,cancel,VU,,,,LC,1,Ⅴ,Northern,1,1,
12048,813,Crassulaceae,Orostachys japonica (Maxim.) A. Berger,,,,,,,1,,,1,1,
15716,836,Crassulaceae,Sedum kamtschaticum Fisch. & C. A. Mey.,,,,,,,1,,,1,1,
15724,840,Crassulaceae,Sedum makinoi Maxim.,,,PIP (CAP),,,,,,,,1,
15747,845,Crassulaceae,Sedum sarmentosum Bunge,,,,,,,1,,,1,1,
14750,858,Grossulariaceae,Ribes grossularia L.,,,,,,,,,,,1,
14764,866,Grossulariaceae,Ribes nigrum L.,,,,,,,,,,,1,
14773,869,Grossulariaceae,Ribes sativum (Rchb.) Syme,,,,,,,,,,,1,
11647,873,Haloragaceae,Myriophyllum aquaticum (Vell.) Verdc.,,,PIP (CAP),,,,,,,,1,1
4815,878,Hamamelidaceae,Corylopsis glabrescens Franch. & Sav. var. gotoana (Makino) T. Yamanaka,cancel,LC,,,,,1,Ⅳ,,1,1,
4821,879,Hamamelidaceae,Corylopsis sinensis Hemsl.,,,,,,,,,,,1,
4826,880,Hamamelidaceae,Corylopsis spicata Siebold & Zucc.,,,,,,,,,,,1,
7745,883,Hamamelidaceae,Hamamelis japonica Siebold & Zucc.,,,,,,,,,,,1,
12207,887,Paeoniaceae,Paeonia lactiflora Pall.,,,,,,,,,,,1,
12203,890,Paeoniaceae,Paeonia lactiflora Pall. forma pilosella (Nakai) Kitag.,,,,,,,,,,,1,
12231,892,Paeoniaceae,Paeonia suffruticosa Andrews,,,,,,,,,,,1,
20218,902,Saxifragaceae,Bergenia stracheyi (Hook. f. & Thomson) Engl.,,,PIP (CAP),,,,,,,,1,
11608,919,Saxifragaceae,Mukdenia rossii (Oliv.) Koidz.,,,,,,,1,Ⅱ,Northern,1,1,
15487,933,Saxifragaceae,Saxifraga stolonifera Curtis,,,,,,,,,,,1,
12348,941,Vitaceae,Parthenocissus henryana Graebn. ex Diels,,,,,,,,,,,1,
12349,942,Vitaceae,Parthenocissus quinquefolia (L.) Planch.,,,PIP (CAP),,,,,,,,1,
12351,943,Vitaceae,Parthenocissus tricuspidata (Siebold & Zucc.) Planch.,,,,,,,,,,1,1,
17648,950,Vitaceae,Vitis vinifera L.,,,,,,,,,,,1,
6612,958,Celastraceae,Euonymus alatus (Thunb.) Siebold,,,,,,,1,,,1,1,
6668,969,Celastraceae,Euonymus japonicus Thunb.,,,,,,,1,Ⅰ,,1,1,
