MisspelledGenus,CorrectedGenus
Menianthes,Menyanthes
Menziesa,Menziesia
Menziesta,Menziesia
Menziezia,Menziesia
Mesembrianthemum,Mesembryanthemum
Melpilus,Mespilus
Mespylus,Mespilus
Mesphilus,Mespilus
Messerchmidia,Messerschmidia
Messerschmidtia,Messerschmidia
Messua,Mesua
Metrosederos,Metrosideros
Mezoneurum,Mezoneuron
Mezzetia,Mezzettia
Michellia,Michelia
Micrantella,Micranthella
Microcale,Microcala
Micromelium,Micromelum
Micropetalum,Micropetalon
Microsorium,Microsorum
Millium,Milium
Millera,Milleria
Milletia,Millettia
Milingtonia,Millingtonia
Mischophlaeus,Mischophloeus
Mitchellia,Mitchella
Mittella,Mitella
Mitracarpum,Mitracarpus
Moerhingia,Moehringia
Moeringia,Moehringia
Mohringia,Moehringia
Mongorium,Mogorium
Molugo,Mollugo
Molucella,Moluccella
Mollucella,Moluccella
Monesis,Moneses
Monieria,Moniera
Monniera,Moniera
Monoceras,Monocera
Monogramme,Monogramma
Montagnea,Montanoa
Montezumea,Montezuma
Morea,Moraea
Moscaria,Moscharia
Moschoxylon,Moschoxylum
Mouriria,Mouriri
Muhlenbeckia,Muehlenbeckia
Mullera,Muellera
Muehlenbergia,Muhlenbergia
Mukea,Mukia
Murraea,Murraya
Murrya,Murraya
Murucuja,Murucuia
Musenda,Mussaenda
Mussenda,Mussaenda
Mylocarium,Mylocaryum
Mionima,Myonima
Myosotidum,Myosotidium
Mirica,Myrica
Myriophillum,Myriophyllum
Myroxilon,Myroxylon
Myrrhinum,Myrrhinium
Myrsiphylum,Myrsiphyllum
Nageja,Nageia
Naias,Najas
Nayas,Najas
Nannorhops,Nannorrhops
Naragamia,Naregamia
Nemophyla,Nemophila
Nemophylla,Nemophila
Neotia,Neottia
Nereum,Nerium
Neurochlaena,Neurolaena
Nintoa,Nintooa
Noittetia,Noisettia
Nonnea,Nonea
Noronhaea,Noronhia
Noronhea,Noronhia
Notelea,Notelaea
Notaphoebe,Nothaphoebe
Nothochlaena,Notholaena
Notochlaena,Notholaena
Nuttalia,Nuttallia
Nectanthes,Nyctanthes
Nictanthes,Nyctanthes
Nyctantes,Nyctanthes
Nyctanthus,Nyctanthes
Nimphaea,Nymphaea
Nymphea,Nymphaea
Nymphoea,Nymphaea
Ochrocarpus,Ochrocarpos
Ocymum,Ocimum
Aenanthe,Oenanthe
Oenoplia,Oenoplea
Aenothera,Oenothera
Oenotera,Oenothera
Oliviera,Oliveria
Omphalopthalma,Omphalophthalma
Oncydium,Oncidium
Onopordon,Onopordum
Ophioglosum,Ophioglossum
Ophiorhiza,Ophiorrhiza
Ophioxylum,Ophioxylon
Ophiurus,Ophiuros
Oporinea,Oporinia
Orchys,Orchis
Oreganum,Origanum
Orythyia,Orithyia
Ornithagalum,Ornithogalum
Oroxylon,Oroxylum
Orthosanthus,Orthrosanthus
Orthrosanthes,Orthrosanthus
Oriza,Oryza
Othona,Othonna
Othonma,Othonna
Oxibaphus,Oxybaphus
Oxicoccus,Oxycoccus
Oxydendron,Oxydendrum
Pachyrrhizus,Pachyrhizus
Pachisandra,Pachysandra
Poeonia,Paeonia
Palava,Palaua
Palavia,Palaua
Palicuria,Palicourea
Palicouria,Palicourea
Paliuris,Paliurus
Panaeta,Panaetia
Pancreatium,Pancratium
Paradisia,Paradisea
Parinarium,Parinari
Paritium,Pariti
Paritium,Pariti
Paronichia,Paronychia
Parosella,Parosela
Paschalia,Pascalia
Paspalus,Paspalum
Paulinia,Paullinia
Pachystima,Paxistima
Payenia,Payena
Pedylanthes,Pedilanthus
Pellegriniodendrum,Pellegriniodendron
Peltogine,Peltogyne
Pentastemon,Penstemon
Pentstemon,Penstemon
Pentacondra,Pentachondra
Pentapethes,Pentapetes
Pentarhaphia,Pentaraphia
Pentorum,Penthorum
Piperomia,Peperomia
Peireskia,Pereskia
Peireskiopsis,Pereskiopsis
Peribalia,Periballia
Peristylis,Peristylus
Pernettia,Pernettya
Perowskia,Perovskia
Personia,Persoonia
Petalostemum,Petalostemon
Petiviera,Petiveria
Petraea,Petrea
Petrophila,Petrophile
Petrophylla,Petrophile
Petrosilinum,Petroselinum
Petroselium,Petroselinum
Phoenocoma,Phaenocoma
Phajus,Phaius
Pharbites,Pharbitis
Phaylopsis,Phaulopsis
Phellandrum,Phellandrium
Phaenacospermum,Phenakospermum
Phenacospermum,Phenakospermum
Phillyraea,Phillyrea
Philyrea,Phillyrea
Phyllirea,Phillyrea
Phyllyrea,Phillyrea
Phylodendron,Philodendron
Phylidrum,Philydrum
Phlaeum,Phleum
Plox,Phlox
Phaebe,Phoebe
Phoenicophorum,Phoenicophorium
Phaenix,Phoenix
Pholitoda,Pholidota
Phornium,Phormium
Pormium,Phormium
Phragmitis,Phragmites
Philica,Phylica
Phylanthus,Phyllanthus
Phyllantus,Phyllanthus
Phyllacactus,Phyllocactus
Phyllolobum,Phyllolobium
Physallis,Physalis
Physochlaena,Physochlaina
Physalobium,Physolobium
Phytelaphas,Phytelephas
Phyteumea,Phyteuma
Phytolaca,Phytolacca
Phytholacca,Phytolacca
Pimelia,Pimelea
Pimeledendron,Pimelodendron
Pincenectitia,Pincenectia
Pinckneia,Pinckneya
Pinkneya,Pinckneya
Pingvicula,Pinguicula
Pistachia,Pistacia
Pitcarnia,Pitcairnia
Pithecolobium,Pithecellobium
Plagiolobum,Plagiolobium
Plantanus,Platanus
Platilobium,Platylobium
Platystilis,Platystylis
Plectantrus,Plectranthus
Pleiogynum,Pleiogynium
Phleocnemia,Pleocnemia
Pleurothalis,Pleurothallis
Plumeiria,Plumeria
Plumiera,Plumeria
Plumieria,Plumeria
Podaliria,Podalyria
Podolepsis,Podolepis
Podosaemum,Podosemum
Pogantherum,Pogonatherum
Pogostemum,Pogostemon
Poinciania,Poinciana
Poincettia,Poinsettia
Poinsetia,Poinsettia
Polianthus,Polianthes
Polyanthes,Polianthes
Polyalthea,Polyalthia
Polyanthos,Polyanthes
Polycolymna,Polycalymma
Polychilus,Polychilos
Polychnemum,Polycnemum
Polipodium,Polypodium
Polytricum,Polytrichum
Pomaderis,Pomaderris
Pommereula,Pommereulla
Pongonia,Pongamia
Pontedera,Pontederia
Ponthieua,Ponthieva
Poppia,Poppya
Porliera,Porlieria
Pourliera,Porlieria
Porleria,Porlieria
Portulacca,Portulaca
Patamogeton,Potamogeton
Pontentilla,Potentilla
Potomorphe,Pothomorphe
Pouzolsia,Pouzolzia
Prenanthus,Prenanthes
Prescotia,Prescottia
Proiphis,Proiphys
Prostantera,Prostanthera
Pseudocalymna,Pseudocalymma
Pseudo-Capsicum,Pseudocapsicum
Pseudo-Larix,Pseudolarix
Psilocarpus,Psilocarphus
Psilotium,Psilotum
Psoralia,Psoralea
Psorallea,Psoralea
Psychothria,Psychotria
Ptelia,Ptelea
Pteroneuron,Pteroneurum
Ptychorhaphis,Ptychoraphis
Ptycosperma,Ptychosperma
Ptichosperma,Ptychosperma
Punicum,Punica
Puskinia,Puschkinia
Picnanthemum,Pycnanthemum
Pygmaea,Pygmea
Pyrrhocoma,Pyrrocoma
Pirus,Pyrus
Quillaia,Quillaja
Quillaya,Quillaja
Quillaia,Quillaja
Rhabdochloa,Rabdochloa
Rhachicallis,Rachicallis
Ramondia,Ramonda
Rhaphanus,Raphanus
Ratabida,Ratibida
Rauwolfia,Rauvolfia
Rawolfia,Rauvolfia
Reaumurea,Reaumuria
Redutea,Redoutea
Reineckia,Reineckea
Retinospora,Retinispora
Ragadiolus,Rhagadiolus
Raphidophora,Rhaphidophora
Raphiolepis,Rhaphiolepis
Raphiostylis,Rhaphiostylis
Rhaphidophyllum,Rhapidophyllum
Rhipidodendron,Rhipidodendrum
Rhododendrum,Rhododendron
Rhodotypus,Rhodotypos
Rhaeo,Rhoeo
Rhomboelytrum,Rhombolytrum
Rhynchelytrum,Rhynchelythrum
Rhyncocarpa,Rhynchocarpa
Rynchosia,Rhynchosia
Rynchospora,Rhynchospora
Rhynchothecum,Rhynchotechum
Rytidophyllum,Rhytidophyllum
Riedleia,Riedlea
Rhinorea,Rinorea
Rhipogonum,Ripogonum
Rivinia,Rivina
Rodriguesia,Rodriguezia
Roeslea,Roezlia
Rhodea,Rohdea
Roripa,Rorippa
Rothboellia,Rottboellia
Rotboellia,Rottboellia
Rottbaellia,Rottboellia
Rotbolla,Rottboellia
Rottboella,Rottboellia
Rottbolia,Rottboellia
Rottbolla,Rottboellia
Rottbollia,Rottboellia
Roncela,Roucela
Rhopala,Roupala
Roxburgia,Roxburghia
Royenna,Royena
Rudbekia,Rudbeckia
Russellia,Russelia
Ryanea,Ryania
Rhyssopterys,Ryssopterys
Sabbatia,Sabatia
Sacharum,Saccharum
Saccolobium,Saccolabium
Saccalabium,Saccolabium
Sagitaria,Sagittaria
Sagguerus,Saguerus
Zalakka,Salacca
Salysburia,Salisburia
Salvadorea,Salvadora
Salvinea,Salvinia
Samida,Samyda
Sangvisorba,Sanguisorba
Sanseveria,Sansevieria
Sanseverina,Sansevieria
Sanseviera,Sansevieria
Senseveiria,Sansevieria
Sarcostema,Sarcostemma
Sarracena,Sarracenia
Saturea,Satureja
Satureia,Satureja
Saurauja,Saurauia
Sauravia,Saurauia
Saxe Gothaea,Saxegothaea
Saxe-Gothaea,Saxegothaea
Saxegothea,Saxegothaea
Saxogothaea,Saxegothaea
Scheelia,Scheelea
Scheffleria,Schefflera
Schizandra,Schisandra
Schysandra,Schisandra
Schievreckia,Schivereckia
Schizea,Schizaea
Schizonothus,Schizonotus
Scizopetalon,Schizopetalon
Schizopetalum,Schizopetalon
Schuria,Schkuhria
Schkuria,Schkuhria
Schmiedelia,Schmidelia
Schaenanthus,Schoenanthus
Schaenus,Schoenus
Scoenus,Schoenus
Schottia,Schotia
Scubertia,Schubertia
Szubertia,Schubertia
Schwagrichenia,Schwaegrichenia
Schwenkia,Schwenckia
Sciadophyllum,Sciodaphyllum
Schleranthus,Scleranthus
Sclaerocarpus,Sclerocarpus
Scolopendrum,Scolopendrium
Scorsonera,Scorzonera
Scrofularia,Scrophularia
Scropularia,Scrophularia
Scutillaria,Scutellaria
Scuttelaria,Scutellaria
Scypanthus,Scyphanthus
Seafortia,Seaforthia
Sebastiana,Sebastiania
Securidacca,Securidaca
Seguiera,Seguieria
Selinicereus,Selenicereus
Semicarpus,Semecarpus
Senbiera,Senebiera
Senecillus,Senecillis
Sequoja,Sequoia
Sequoiadendrum,Sequoiadendron
Seriana,Serjania
Sesbana,Sesbania
Sessleria,Sesleria
Setcreasia,Setcreasea
Sheferdia,Shepherdia
Scherardia,Sherardia
Sycios,Sicyos
Siderodendron,Siderodendrum
Sideroxylum,Sideroxylon
Siegesbeckia,Sigesbeckia
Sylphium,Silphium
Sylphyum,Silphium
Silbium,Silybum
Sylibum,Silybum
Syllibum,Silybum
Simaruba,Simarouba
Sinapsis,Sinapis
Syphocampylus,Siphocampylus
Siphocampilus,Siphocampylus
Sysimbrium,Sisymbrium
Sisimbrium,Sisymbrium
Sisyrrhinchium,Sisyrinchium
Sisyrinchum,Sisyrinchium
Sysyrinchium,Sisyrinchium
Sitolobium,Sitobolium
Skimmea,Skimmia
Smilacena,Smilacina
Smillax,Smilax
Smirnium,Smyrnium
Smyrium,Smyrnium
Soya,Soja
Solanandra,Solenandria
Sonerilla,Sonerila
Sowerbea,Sowerbaea
Sparmania,Sparmannia
Spermacoceae,Spermacoce
Spermaxyron,Spermaxyrum
Sphaeranhus,Sphaeranthus
Sphoeranthus,Sphaeranthus
Sphaerocarpus,Sphaerocarpos
Sphaerosphysa,Sphaerophysa
Sphaerostemma,Sphaerostema
Sphenodesma,Sphenodesme
Sphaenogyne,Sphenogyne
Spigella,Spigelia
Spilanthus,Spilanthes
Spillanthus,Spilanthes
Spinacea,Spinacia
Spinachia,Spinacia
Spirea,Spiraea
Spyranthes,Spiranthes
Spyronema,Spironema
Sporabolus,Sporobolus
Sporolobus,Sporobolus
Sporobulus,Sporobolus
Spreikelia,Sprekelia
Stachyothyrus,Stachyothyrsus
Stachis,Stachys
Stachitarpheta,Stachytarpheta
Stachytarpha,Stachytarpheta
Stadmannia,Stadtmannia
Staechelina,Staehelina
Sthaehelina,Staehelina
Stahaelina,Staehelina
Staehlina,Staehelina
Stapellia,Stapelia
Staphylaea,Staphylea
Staphyllea,Staphylea
Staphillea,Staphylea
Staurocanthus,Stauracanthus
Sterospermum,Stereospermum
Stewia,Stevia
Stuartia,Stewartia
Stigmaphyllum,Stigmaphyllon
Stigmatophyllon,Stigmaphyllon
Stilingia,Stillingia
Strangwaysia,Stranvaesia
Streblorhiza,Streblorrhiza
Strelitza,Strelitzia
Streptogyne,Streptogyna
Strobilantes,Strobilanthes
Stylosantes,Stylosanthes
Stiphelia,Styphelia
Sueda,Suaeda
Succovia,Succowia
Suckowia,Succowia
Sucowia,Succowia
Swainsonia,Swainsona
Schwertia,Swertia
Svida,Swida
Sweitenia,Swietenia
Symphoricarpus,Symphoricarpos
Symphorocarpus,Symphoricarpos
Symphiandra,Symphyandra
Sympholoma,Symphyoloma
Symphyostemum,Symphyostemon
Symphysocarpus,Symphysicarpus
Symphitum,Symphytum
Simplocos,Symplocos
Syrynga,Syringa
Tabernamontana,Tabernaemontana
Tabernemontana,Tabernaemontana
Tachygalia,Tachigali
Tachigalia,Tachigali
Taxonia,Tacsonia
Tamonia,Tamonea
Tanasetum,Tanacetum
Tapagomea,Tapogomea
Taractogenos,Taraktogenos
Tecophylaea,Tecophilaea
Tectonia,Tectona
Telfaira,Telfairia
Telopia,Telopea
Teloxis,Teloxys
Thephrosia,Tephrosia
Ternstromia,Ternstroemia
Tetragona,Tetragonia
Tetrapteris,Tetrapterys
Thelygonum,Theligonum
Thelymithra,Thelymitra
Theophrastera,Theophrasta
Thespesea,Thespesia
Tevetia,Thevetia
Thylachium,Thilachium
Thujaecarpus,Thuiaecarpus
Thuia,Thuja
Thuya,Thuja
Thuiopsis,Thujopsis
Thuyopsis,Thujopsis
Thumbergia,Thunbergia
Thysanocarpos,Thysanocarpus
Thyssanolaena,Thysanolaena
Thysanothus,Thysanotus
Tigrida,Tigridia
Tigridiae,Tigridia
Tordyllium,Tordylium
Tordilium,Tordylium
Torena,Torenia
Torrea,Torreya
Turnefortia,Tournefortia
Trachaelium,Trachelium
Trewia,Trevia
Tryanthema,Trianthema
Tricholaeana,Tricholaena
Trycholaena,Tricholaena
Thrichomanes,Trichomanes
Trichorrhiza,Trichorhiza
Tricosanthes,Trichosanthes
Trichosperma,Trichospermum
Trichyrtis,Tricyrtis
Triopteris,Triopterys
Trypsacum,Tripsacum
Tritomia,Tritoma
Trittonia,Tritonia
Trolius,Trollius
Tropeolum,Tropaeolum
Tropoeolum,Tropaeolum
Tulbagia,Tulbaghia
Tulbachia,Tulbaghia
Turbinia,Turbina
Turgosia,Turgosea
Turneraea,Turnera
Turneria,Turnera
Thypha,Typha
Tipha,Typha
Uraena,Urena
Uropetalum,Uropetalon
Uroskinneria,Uroskinnera
Urvillaea,Urvillea
Ustera,Usteria
Vachelia,Vachellia
Vaillantia,Valantia
Vallantia,Valantia
Valleriana,Valeriana
Valisneria,Vallisneria
Valorada,Valoradia
Vanguiera,Vangueria
Velleja,Velleia
Velleya,Velleia
Vellosia,Vellozia
Veilthemia,Veltheimia
Velthemia,Veltheimia
Venedium,Venidium
Verbascus,Verbascum
Verbesinia,Verbesina
Verbisina,Verbesina
Verea,Vereia
Vesalia,Vesalea
Vessicaria,Vesicaria
Vicarija,Vicarya
Villebrunnia,Villebrunea
Visiana,Visiania
Vismea,Vismia
Vittadenia,Vittadinia
Voandzeja,Voandzeia
Volcameria,Volkameria
Volckameria,Volkameria
Vohiria,Voyria
Vriesia,Vriesea
Wachendorffia,Wachendorfia
Waldtschmidtia,Waldschmidia
Waldstenia,Waldsteinia
Wallsura,Walsura
Warscewiczella,Warczewiczella
Warscewiczia,Warszewiczia
Weigelia,Weigela
Wiegelia,Weigela
Westeringia,Westringia
Whitefieldia,Whitfieldia
Wickstroemia,Wikstroemia
Willugbeia,Willughbeia
Winterania,Winterana
Wistaria,Wisteria
Wodyettia,Wodyetia
Woodvardia,Woodwardia
Wurmbaea,Wurmbea
Xantium,Xanthium
Xanthoriza,Xanthorhiza
Zanthoriza,Xanthorhiza
Zanthorrhiza,Xanthorhiza
Xanthorrhiza,Xanthorhiza
Xanthophthalmum,Xantophtalmum
Ximinesia,Ximenesia
Xymenia,Ximenia
Xiphium,Xiphion
Xilophylla,Xylophylla
Xylosteum,Xylosteon
Ijucca,Yucca
Zacyntha,Zacintha
Zazintha,Zacintha
Zazintha,Zacintha
Zahlbruckneria,Zahlbrucknera
Zanichelia,Zannichellia
Zanichellia,Zannichellia
Zannichelia,Zannichellia
Xanthoxalum,Zanthoxylum
Xanthoxylon,Zanthoxylum
Xanthoxylum,Zanthoxylum
Zanthoxilum,Zanthoxylum
Zanthoxylon,Zanthoxylum
Zapania,Zappania
Zauschnera,Zauschneria
Zelkowa,Zelkova
Zephyrantes,Zephyranthes
Zephyranthus,Zephyranthes
Zephiranthes,Zephyranthes
Zichia,Zichya
Zygadenus,Zigadenus
Zinziber,Zingiber
Zizyphora,Ziziphora
Zizyphus,Ziziphus
Zozimia,Zosima
Zosimia,Zosima
